debug_tracks log
Sun Dec  7 20:10:32 2025 | Frame 5 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:10:34 2025 | Frame 10 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:10:36 2025 | Frame 15 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:10:38 2025 | Frame 20 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:10:40 2025 | Frame 25 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:10:42 2025 | Frame 30 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:10:44 2025 | Frame 35 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:10:46 2025 | Frame 40 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:10:48 2025 | Frame 45 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:10:50 2025 | Frame 50 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:10:52 2025 | Frame 55 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:10:54 2025 | Frame 60 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:10:56 2025 | Frame 65 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:10:58 2025 | Frame 70 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:11:00 2025 | Frame 75 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:11:02 2025 | Frame 80 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:11:04 2025 | Frame 85 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:11:06 2025 | Frame 90 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:11:08 2025 | Frame 95 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:11:10 2025 | Frame 100 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:11:12 2025 | Frame 105 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:11:14 2025 | Frame 110 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:11:16 2025 | Frame 115 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:11:18 2025 | Frame 120 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:11:20 2025 | Frame 125 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:11:22 2025 | Frame 130 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:11:24 2025 | Frame 135 | Tracker: Centroid | Active: 1 | IDs: [1]
Sun Dec  7 20:11:26 2025 | Frame 140 | Tracker: Centroid | Active: 1 | IDs: [1]
