frame,time,track_id,x1,y1,x2,y2,conf
1,1765118430.950783,1,105,52,582,479,
2,1765118431.3417647,1,103,53,579,479,
3,1765118431.7171881,1,98,51,583,479,
4,1765118432.1419706,1,106,51,581,479,
5,1765118432.5466008,1,104,50,580,479,
6,1765118432.9463012,1,107,52,584,479,
7,1765118433.3418493,1,108,52,582,479,
8,1765118433.7362754,1,114,53,581,479,
9,1765118434.1200948,1,107,52,583,479,
10,1765118434.5332422,1,106,52,583,479,
11,1765118434.9295716,1,104,51,581,479,
12,1765118435.3130069,1,106,52,585,479,
13,1765118435.6917746,1,106,52,579,479,
14,1765118436.0675313,1,105,52,585,479,
15,1765118436.457788,1,104,50,579,479,
16,1765118436.8740978,1,101,51,579,479,
17,1765118437.2700438,1,94,51,590,478,
18,1765118437.655479,1,94,50,587,478,
19,1765118438.0448797,1,85,49,583,478,
20,1765118438.4204721,1,88,49,590,478,
21,1765118438.825927,1,85,50,544,478,
22,1765118439.2299988,1,59,50,500,479,
23,1765118439.6332831,1,50,52,485,479,
24,1765118440.019737,1,53,49,490,479,
25,1765118440.399796,1,50,52,487,479,
26,1765118440.8018,1,53,63,478,479,
27,1765118441.224933,1,43,83,476,478,
28,1765118441.6105938,1,37,82,470,479,
29,1765118442.0051403,1,45,80,475,479,
30,1765118442.3921037,1,42,81,471,479,
31,1765118442.7796144,1,45,82,481,478,
32,1765118443.1641717,1,45,82,479,478,
33,1765118443.5910733,1,49,78,472,479,
34,1765118443.9841292,1,44,76,475,479,
35,1765118444.392857,1,47,76,476,479,
36,1765118444.7681053,1,45,80,478,478,
37,1765118445.2509143,1,36,84,471,479,
38,1765118445.6868563,1,48,48,476,479,
39,1765118446.0755172,1,68,69,525,479,
40,1765118446.4838557,1,70,76,533,479,
41,1765118446.8740313,1,127,82,553,479,
42,1765118447.269356,1,98,94,581,479,
43,1765118447.658198,1,98,87,579,479,
44,1765118448.0858629,1,95,98,582,479,
45,1765118448.4813719,1,97,99,583,479,
46,1765118448.8689055,1,105,97,582,479,
47,1765118449.2713013,1,89,96,583,479,
48,1765118449.6982193,1,114,80,566,479,
49,1765118450.135751,1,88,58,545,479,
50,1765118450.5230005,1,71,50,527,479,
51,1765118450.9193993,1,52,53,496,479,
52,1765118451.319083,1,47,76,466,479,
53,1765118451.707817,1,47,76,466,479,
54,1765118452.106119,1,47,76,466,479,
55,1765118452.5400214,1,47,76,466,479,
56,1765118452.9331794,1,47,76,466,479,
57,1765118453.3126016,1,47,76,466,479,
58,1765118453.704352,1,47,76,466,479,
59,1765118454.1105223,1,47,76,466,479,
60,1765118454.4971952,1,36,98,437,479,
61,1765118454.9354224,1,48,81,448,479,
62,1765118455.3200045,1,51,59,485,479,
63,1765118455.7067952,1,64,50,512,479,
64,1765118456.0937598,1,55,52,528,479,
65,1765118456.4744687,1,77,56,561,478,
66,1765118456.8941994,1,90,72,593,479,
67,1765118457.28487,1,103,76,599,478,
68,1765118457.6733484,1,112,95,633,479,
69,1765118458.0721786,1,119,91,624,478,
70,1765118458.4753628,1,114,102,638,479,
71,1765118458.8708506,1,120,99,628,478,
72,1765118459.307989,1,118,103,638,479,
73,1765118459.7030997,1,118,103,638,479,
74,1765118460.1285145,1,118,103,638,479,
75,1765118460.5207317,1,118,103,638,479,
76,1765118460.902137,1,118,103,638,479,
77,1765118461.3163474,1,120,103,639,480,
78,1765118461.734114,1,117,98,639,479,
79,1765118462.1244214,1,118,99,634,479,
80,1765118462.5092547,1,120,88,621,478,
81,1765118462.9221601,1,104,59,588,479,
82,1765118463.3285923,1,91,54,561,478,
83,1765118463.7513444,1,79,52,543,479,
84,1765118464.2436538,1,68,51,524,479,
85,1765118464.6440742,1,34,57,480,479,
86,1765118465.0561156,1,32,89,434,479,
87,1765118465.465425,1,32,89,434,479,
88,1765118465.8601809,1,32,89,434,479,
89,1765118466.3031712,1,32,89,434,479,
90,1765118466.7117448,1,32,89,434,479,
91,1765118467.1155858,1,5,113,457,479,
92,1765118467.5070887,1,18,100,432,478,
93,1765118467.9177563,1,29,72,466,479,
94,1765118468.341893,1,35,56,477,479,
95,1765118468.7444265,1,49,58,479,479,
96,1765118469.1545067,1,50,52,488,479,
97,1765118469.5331838,1,51,59,492,479,
98,1765118469.9208033,1,65,57,521,479,
99,1765118470.3363638,1,72,64,542,478,
100,1765118470.7671366,1,147,72,570,479,
101,1765118471.1598964,1,134,93,597,479,
102,1765118471.5479436,1,88,95,605,479,
103,1765118471.931773,1,83,97,604,478,
104,1765118472.32543,1,85,100,605,478,
105,1765118472.7358057,1,176,93,608,479,
106,1765118473.1374946,1,84,97,605,479,
107,1765118473.5322783,1,112,95,609,479,
108,1765118473.9437668,1,90,96,614,479,
109,1765118474.336878,1,151,94,605,479,
110,1765118474.732863,1,91,96,615,479,
111,1765118475.1855123,1,85,96,607,478,
112,1765118475.5632808,1,91,90,599,478,
113,1765118475.9603019,1,85,73,587,479,
114,1765118476.3573906,1,111,63,583,478,
115,1765118476.7500687,1,109,62,582,479,
116,1765118477.154245,1,112,60,581,478,
117,1765118477.581149,1,113,60,586,479,
118,1765118477.9715087,1,107,61,581,478,
119,1765118478.362873,1,106,60,579,478,
120,1765118478.7582245,1,112,62,584,478,
121,1765118479.1522808,1,110,59,581,479,
122,1765118479.5739925,1,108,61,579,478,
123,1765118479.9752693,1,98,56,584,479,
124,1765118480.3823366,1,104,62,584,479,
125,1765118480.7655528,1,119,60,581,479,
126,1765118481.2671762,1,109,60,583,479,
