Time,Entrance,Retail,Food Court,Total
18:45:09,0,0,0,0
18:45:13,0,9,0,9
18:45:18,35,9,15,59
18:45:22,37,8,18,63
18:45:27,37,9,20,66
18:45:32,36,8,17,61
18:45:36,36,8,18,62
18:48:20,0,0,0,0
18:48:25,0,0,0,0
18:48:29,0,0,0,0
18:48:34,37,9,19,65
18:48:38,35,7,15,57
18:48:43,37,8,18,63
18:48:47,38,8,16,62
18:48:52,36,8,16,60
18:48:56,36,12,19,67
18:49:01,36,14,19,69
18:49:06,35,14,19,68
18:49:10,36,14,16,66
18:49:15,37,14,18,69
18:49:20,35,12,18,65
18:49:24,35,10,18,63
18:49:29,34,11,18,63
18:49:33,33,9,20,62
18:49:38,38,10,20,68
18:49:42,38,10,19,67
18:49:47,34,11,19,64
18:49:52,37,11,18,66
18:49:56,37,12,18,67
18:50:01,38,13,18,69
18:50:05,38,11,18,67
18:50:10,38,11,18,67
18:50:15,38,10,18,66
18:50:19,38,10,17,65
18:50:24,40,12,17,69
18:50:28,40,11,17,68
18:50:33,38,10,16,64
18:50:38,38,10,16,64
18:50:42,40,11,16,67
18:50:48,38,14,16,68
18:50:54,41,13,16,70
18:51:00,40,13,17,70
18:51:06,41,16,17,74
18:51:12,41,17,17,75
18:51:18,40,14,17,71
18:51:24,39,13,15,67
18:51:30,37,11,17,65
18:51:37,36,13,17,66
18:51:43,33,10,16,59
18:51:49,33,11,16,60
18:51:55,31,11,17,59
18:52:01,33,12,18,63
18:52:07,34,11,17,62
18:52:14,34,10,19,63
18:52:20,33,12,19,64
18:52:26,32,11,19,62
18:52:32,32,14,19,65
18:52:38,32,12,17,61
18:52:44,31,14,17,62
01:33:07,0,0,0,0
01:33:11,0,0,0,0
01:33:16,37,9,16,62
01:33:20,37,9,18,64
01:33:25,37,8,16,61
01:33:29,34,13,19,66
01:33:34,36,13,20,69
01:33:38,36,12,16,64
01:33:43,38,10,18,66
01:33:47,34,9,18,61
01:33:52,33,10,20,63
01:33:56,38,11,19,68
01:34:01,34,12,19,65
01:34:05,37,11,18,66
01:34:10,38,10,18,66
01:34:15,38,11,18,67
01:34:19,40,10,17,67
01:34:24,40,13,16,69
01:34:29,38,13,16,67
01:34:33,38,15,16,69
01:34:38,38,16,16,70
01:34:42,41,16,17,74
01:34:47,41,17,17,75
01:34:51,41,13,17,71
01:34:56,41,13,17,71
01:35:00,39,12,17,68
