frame,time,zone_1_cumulative,zone_2_cumulative
1,1765118430.950783,0,0
2,1765118431.3417647,0,0
3,1765118431.7171881,0,0
4,1765118432.1419706,0,0
5,1765118432.5466008,0,0
6,1765118432.9463012,0,0
7,1765118433.3418493,0,0
8,1765118433.7362754,0,0
9,1765118434.1200948,0,0
10,1765118434.5332422,0,0
11,1765118434.9295716,0,0
12,1765118435.3130069,0,0
13,1765118435.6917746,0,0
14,1765118436.0675313,0,0
15,1765118436.457788,0,0
16,1765118436.8740978,0,0
17,1765118437.2700438,0,0
18,1765118437.655479,0,0
19,1765118438.0448797,0,0
20,1765118438.4204721,0,0
21,1765118438.825927,0,0
22,1765118439.2299988,0,0
23,1765118439.6332831,0,0
24,1765118440.019737,0,0
25,1765118440.399796,1,0
26,1765118440.8018,1,0
27,1765118441.224933,1,0
28,1765118441.6105938,1,0
29,1765118442.0051403,1,0
30,1765118442.3921037,1,0
31,1765118442.7796144,1,0
32,1765118443.1641717,1,0
33,1765118443.5910733,1,0
34,1765118443.9841292,1,0
35,1765118444.392857,1,0
36,1765118444.7681053,1,0
37,1765118445.2509143,1,0
38,1765118445.6868563,1,0
39,1765118446.0755172,1,0
40,1765118446.4838557,1,0
41,1765118446.8740313,1,1
42,1765118447.269356,1,1
43,1765118447.658198,1,1
44,1765118448.0858629,1,1
45,1765118448.4813719,1,1
46,1765118448.8689055,1,1
47,1765118449.2713013,1,1
48,1765118449.6982193,1,1
49,1765118450.135751,1,1
50,1765118450.5230005,1,1
51,1765118450.9193993,1,1
52,1765118451.319083,1,1
53,1765118451.707817,1,1
54,1765118452.106119,2,1
55,1765118452.5400214,2,1
56,1765118452.9331794,2,1
57,1765118453.3126016,2,1
58,1765118453.704352,2,1
59,1765118454.1105223,2,1
60,1765118454.4971952,2,1
61,1765118454.9354224,2,1
62,1765118455.3200045,2,1
63,1765118455.7067952,2,1
64,1765118456.0937598,2,1
65,1765118456.4744687,2,1
66,1765118456.8941994,2,1
67,1765118457.28487,2,1
68,1765118457.6733484,2,1
69,1765118458.0721786,2,1
70,1765118458.4753628,2,1
71,1765118458.8708506,2,1
72,1765118459.307989,2,1
73,1765118459.7030997,2,1
74,1765118460.1285145,2,1
75,1765118460.5207317,2,1
76,1765118460.902137,2,1
77,1765118461.3163474,2,1
78,1765118461.734114,2,1
79,1765118462.1244214,2,1
80,1765118462.5092547,2,1
81,1765118462.9221601,2,1
82,1765118463.3285923,2,1
83,1765118463.7513444,2,1
84,1765118464.2436538,2,1
85,1765118464.6440742,2,1
86,1765118465.0561156,2,1
87,1765118465.465425,3,1
88,1765118465.8601809,3,1
89,1765118466.3031712,3,1
90,1765118466.7117448,3,1
91,1765118467.1155858,3,1
92,1765118467.5070887,3,1
93,1765118467.9177563,3,1
94,1765118468.341893,4,1
95,1765118468.7444265,4,1
96,1765118469.1545067,4,1
97,1765118469.5331838,4,1
98,1765118469.9208033,4,1
99,1765118470.3363638,4,1
100,1765118470.7671366,4,1
101,1765118471.1598964,4,2
102,1765118471.5479436,4,2
103,1765118471.931773,4,2
104,1765118472.32543,4,2
105,1765118472.7358057,4,2
106,1765118473.1374946,4,2
107,1765118473.5322783,4,2
108,1765118473.9437668,4,2
109,1765118474.336878,4,2
110,1765118474.732863,4,2
111,1765118475.1855123,4,2
112,1765118475.5632808,4,2
113,1765118475.9603019,4,3
114,1765118476.3573906,4,3
115,1765118476.7500687,4,3
116,1765118477.154245,4,3
117,1765118477.581149,4,3
118,1765118477.9715087,4,3
119,1765118478.362873,4,3
120,1765118478.7582245,4,3
121,1765118479.1522808,4,3
122,1765118479.5739925,4,3
123,1765118479.9752693,4,3
124,1765118480.3823366,4,3
125,1765118480.7655528,4,3
126,1765118481.2671762,4,4
127,1765118481.6688268,4,4
128,1765118482.1104507,4,4
129,1765118482.5058494,4,4
130,1765118482.8902483,4,4
131,1765118483.29881,4,4
132,1765118483.6728337,4,4
133,1765118484.0828667,4,4
134,1765118484.493694,4,4
135,1765118484.889902,4,4
136,1765118485.3136816,4,4
137,1765118485.6971807,4,4
138,1765118486.1069531,4,4
139,1765118486.5343108,4,4
140,1765118486.9381614,4,4
